STU_ID,X1TXMTSCOR,X1PAREDU,X1SES,X1MTHINT,X1SCIINT,X2TXMTSCOR,X2PAREDU,X2BEHAVEIN,X2MTHINT_R,X2SCIINT,X3TGPAHIMTH,X3TGPAHISCI,X3TGPAACAD,X3TGPASTEM,X4X2SES,X5GPAALL,S1GOODGRADES,S1HRMHOMEWK,S1HRSHOMEWK,S1HROTHHOMWK,S1HRACTIVITY,S1HRTV,S1HRVIDEO,S1HRONLINE,S2LATESCH,S2ABSENT,S2WOHWDN,S2WOPAPER,S2WOBOOKS,S2SKIPCLASS,S2INSCHSUSP,S2OUTSCHSUSP,S2DISCIPLINE,S2EXPELLED,S2ARRESTED,S2JUVHOME,A1SCHCONTROL,A1MTHSCIFAIR,A1MSSUMMER,A1MSAFTERSCH,A1MSMENTOR,A1MSSPEAKER,A1MSFLDTRIP,A1MSPRGMS,A1HRTEACHERS,A1HRSTUDENT,A1TCHRABSENT,A1PRNTINV,A1UNPREP,A1HEALTH,A1RESOURCES,C1PLANPARENT,C1SIGNOFF
27201.0,38.216,3.0,-0.527,-0.66,0.49,41.1282,4.0,0.79,-0.6,-7.0,3.0,3.0,3.5,3.5,-0.3294,1,1.0,2.0,2.0,3.0,5.0,4.0,5.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,1.0,2.0,3.0,2.0,1.0,-7.0,-7.0
27208.0,47.0947,3.0,0.1691,-9.0,-9.0,39.7118,4.0,1.06,0.84,0.12,3.0,2.5,3.0,3.0,-0.3259,1,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,10.0,5.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0
27209.0,61.3613,4.0,0.4087,-9.0,-9.0,63.7694,5.0,0.87,0.71,0.65,3.5,3.0,3.5,4.0,0.8842,3,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,-7.0,-7.0
27211.0,50.1606,-8.0,0.2712,-1.03,0.93,49.1022,2.0,0.37,-9.0,-9.0,3.0,3.5,3.5,3.5,-0.1239,2,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,-7.0,-7.0
27213.0,52.6449,4.0,0.6978,-1.01,1.25,53.5982,5.0,-0.23,-9.0,-9.0,3.0,2.5,3.5,3.0,0.645,2,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,-7.0,-7.0
27215.0,29.792,-8.0,-0.2812,-0.36,0.16,38.359,2.0,-2.01,0.84,0.38,1.0,1.5,1.5,1.0,-0.5746,0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,5.0,4.0,4.0,2.0,4.0,1.0,2.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-7.0,-7.0
27216.0,-8.0,-8.0,-8.0,-8.0,-8.0,62.465,1.0,-0.36,-0.99,-0.4,4.0,4.0,4.0,4.0,-1.0761,2,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,0.0,-7.0
27217.0,52.8764,2.0,-0.9072,0.49,0.54,54.0084,2.0,0.91,-7.0,0.7,2.0,3.5,3.5,3.0,-0.4841,1,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,1.0,0.0
27218.0,49.9993,2.0,-0.2338,0.55,-1.0,54.2719,2.0,-0.15,-0.6,-0.04,1.5,1.0,1.5,1.5,-0.2245,2,2.0,4.0,2.0,5.0,2.0,4.0,3.0,6.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,10.0,1.0,3.0,3.0,1.0,2.0,-7.0,-7.0
27219.0,70.7397,4.0,0.6688,0.19,-7.0,67.4998,5.0,0.89,0.96,1.08,3.5,3.5,3.5,3.5,0.9619,3,2.0,2.0,-7.0,2.0,3.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,8.0,12.0,2.0,1.0,1.0,1.0,1.0,0.0,-7.0
