STU_ID,X1TXMTSCOR,X1PAREDU,X1SES,X1MTHINT,X1SCIINT,X2TXMTSCOR,X2PAREDU,X2BEHAVEIN,X2MTHINT_R,X2SCIINT,X3TGPAHIMTH,X3TGPAHISCI,X3TGPAACAD,X3TGPASTEM,X4X2SES,X5GPAALL,S1GOODGRADES,S1HRMHOMEWK,S1HRSHOMEWK,S1HROTHHOMWK,S1HRACTIVITY,S1HRTV,S1HRVIDEO,S1HRONLINE,S2LATESCH,S2ABSENT,S2WOHWDN,S2WOPAPER,S2WOBOOKS,S2SKIPCLASS,S2INSCHSUSP,S2OUTSCHSUSP,S2DISCIPLINE,S2EXPELLED,S2ARRESTED,S2JUVHOME,A1SCHCONTROL,A1MTHSCIFAIR,A1MSSUMMER,A1MSAFTERSCH,A1MSMENTOR,A1MSSPEAKER,A1MSFLDTRIP,A1MSPRGMS,A1HRTEACHERS,A1HRSTUDENT,A1TCHRABSENT,A1PRNTINV,A1UNPREP,A1HEALTH,A1RESOURCES,C1PLANPARENT,C1SIGNOFF
25791,54.4802,2,-0.6206,0.56,0.86,54.2712,2,0.23,0.19,-0.04,2.0,2.5,2.5,2.5,-0.9907,2,2,1,1,1,1,2,1,1,2,3,2,1,2,1,1,-7,-7,-7,-7,-7,1,0,0,1,0,1,1,1,1,1,2,4,4,2,4,1,1
25797,59.341,3,-0.1237,0.77,-0.29,39.8682,4,0.74,-0.2,-7.0,2.0,2.0,2.5,2.0,-0.1888,3,2,1,1,1,1,3,1,1,2,3,1,1,1,1,1,-7,-7,-7,-7,-7,1,0,0,0,0,1,1,0,5,5,2,2,2,2,3,1,0
25801,63.6458,1,-1.2877,0.19,0.16,-8.0,1,-8.0,-8.0,-8.0,1.0,1.5,2.0,2.0,-1.1436,1,2,1,1,1,-9,1,1,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,0,0,1,1,1,2,8,2,2,2,1,1,1,1
25805,57.9162,4,1.1448,-7.0,-7.0,51.7254,5,-1.12,0.71,-2.24,3.0,1.0,2.5,2.5,0.4471,2,1,-7,-7,3,1,2,3,3,3,3,5,1,1,4,1,-7,-7,-7,-7,-7,1,1,0,1,1,1,0,1,10,2,2,4,3,1,2,1,1
25806,-8.0,-8,-8.0,-8.0,-8.0,45.0514,5,0.76,-0.85,0.61,1.5,3.5,2.5,2.5,0.2935,1,-8,-8,-8,-8,-8,-8,-8,-8,2,1,1,2,1,1,1,-7,-7,-7,-7,-7,1,1,1,1,1,1,1,0,5,9,1,1,1,1,2,0,-7
25808,61.165,-8,0.5309,0.93,-1.38,-8.0,-8,-8.0,-8.0,-8.0,1.5,2.0,2.0,2.5,-8.0,1,1,1,2,1,1,3,2,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,0,1,1,0,1,1,1,15,5,2,4,3,2,3,1,0
25809,61.1749,7,1.4817,0.19,-7.0,61.5339,7,-0.1,1.1,0.97,4.0,4.0,4.0,4.0,0.931,3,1,1,-7,2,3,2,1,2,5,3,1,1,1,2,1,-7,-7,-7,-7,-7,1,0,0,0,1,1,1,1,20,4,1,3,3,2,2,0,-7
25810,44.9281,1,-1.0419,-1.01,0.09,48.9451,1,0.71,0.71,-0.36,2.0,3.5,2.5,2.5,-1.1404,1,2,2,2,3,1,1,1,1,3,2,1,1,1,1,1,-7,-7,-7,-7,-7,1,0,1,1,1,1,1,1,-9,-9,1,2,2,1,1,1,0
25813,61.4929,2,0.1448,0.86,0.49,57.0053,2,0.07,-0.6,1.71,1.0,1.0,2.0,2.0,-0.3304,1,1,3,3,1,6,1,-9,3,3,3,2,1,1,2,1,-7,-7,-7,-7,-7,1,0,0,0,0,1,1,0,5,4,2,2,3,2,2,1,1
25814,51.0068,4,0.1807,-7.0,-0.23,51.3197,5,0.28,0.19,1.36,3.5,3.0,3.0,3.0,-0.1009,1,1,-7,2,3,1,4,1,5,1,2,2,2,2,1,1,-7,-7,-7,-7,-7,2,0,1,1,0,0,1,1,3,3,1,2,1,1,3,1,1
